Transaction_ID,Fecha_Compra,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Método_Pago,Ciudad_Cliente,País_Cliente,Descuento_Aplicado,Costo_Envio,Tiempo_Entrega_Estimado,Tiempo_Entrega_Real,Satisfacción_Cliente,Tipo_Cliente,Valoración_Producto
1,2023-01-01 00:00:00,Teclado,Computación,28677,1,28677,Transferencia Bancaria,Neuquén,Argentina,2,0,11,13,1,VIP,5
2,2023-01-01 01:00:00,Auriculares,Electrónica,14238,5,71190,Transferencia Bancaria,La Plata,Argentina,10,0,6,5,3,Nuevo,2
3,2023-01-01 02:00:00,Monitor,Electrónica,5811,1,5811,Tarjeta de Crédito,Buenos Aires,Argentina,29,0,6,9,1,Nuevo,3
4,2023-01-01 03:00:00,Teclado,Electrónica,3380,3,10140,PayPal,Neuquén,Argentina,1,0,8,7,5,Recurrente,2
5,2023-01-01 04:00:00,Tablet,Electrónica,5139,2,10278,PayPal,Neuquén,Argentina,12,0,4,8,5,Nuevo,2
6,2023-01-01 05:00:00,Mouse,Accesorios,9429,9,84861,Transferencia Bancaria,Neuquén,Argentina,13,0,13,14,5,Recurrente,4
7,2023-01-01 06:00:00,Monitor,Accesorios,9909,5,49545,Tarjeta de Crédito,Rosario,Argentina,20,0,12,15,5,Recurrente,5
8,2023-01-01 07:00:00,Monitor,Electrónica,21632,4,86528,PayPal,Mendoza,Argentina,0,0,4,6,4,Nuevo,3
9,2023-01-01 08:00:00,Teclado,Electrónica,12207,7,85449,Efectivo,Neuquén,Argentina,4,0,4,4,1,Nuevo,2
10,2023-01-01 09:00:00,Smartphone,Electrónica,4667,9,42003,PayPal,Salta,Argentina,5,0,11,13,1,Recurrente,4
11,2023-01-01 10:00:00,Tablet,Accesorios,11508,5,57540,Transferencia Bancaria,La Plata,Argentina,24,0,5,5,3,VIP,4
12,2023-01-01 11:00:00,Teclado,Electrónica,22993,9,206937,Efectivo,Córdoba,Argentina,4,0,12,16,5,Recurrente,4
13,2023-01-01 12:00:00,Tablet,Electrónica,6018,2,12036,Tarjeta de Crédito,La Plata,Argentina,26,0,8,11,4,VIP,2
14,2023-01-01 13:00:00,Tablet,Electrónica,22343,6,134058,Efectivo,Tucumán,Argentina,13,0,7,8,3,VIP,5
