Campo_ID,Provincia,Cultivo,Superficie_Cultivada_ha,Rendimiento_ton_ha,Fecha_Siembra,Fecha_Cosecha,Uso_Fertilizantes,Tipo_Suelo,Nivel_Humedad,Precipitaciones_mm,Temperatura_Media,Plagas_Detectadas,Costo_Producción,Ganancia_Estimada,Exportación
1,Entre Ríos,Cebada,410,8.59,2023-01-01 00:00:00,2023-06-01 00:00:00,No,Franco,16.8,233,32.5,No,180680,298418,Sí
2,Santa Fe,Cebada,248,1.79,2023-01-01 01:00:00,2023-06-01 01:00:00,Sí,Franco,6.6,273,33.9,Sí,9209,73609,Sí
3,Córdoba,Algodón,43,6.35,2023-01-01 02:00:00,2023-06-01 02:00:00,Sí,Franco,34.8,220,28.6,Sí,106961,142603,No
4,Santa Fe,Soja,333,6.2,2023-01-01 03:00:00,2023-06-01 03:00:00,Sí,Arenoso,36.0,230,30.5,Sí,104230,128448,No
5,Santa Fe,Cebada,48,4.83,2023-01-01 04:00:00,2023-06-01 04:00:00,Sí,Arenoso,23.1,112,16.9,Sí,123525,376266,No
6,Mendoza,Maíz,465,8.47,2023-01-01 05:00:00,2023-06-01 05:00:00,Sí,Arcilloso,34.4,248,16.8,Sí,59002,403459,Sí
7,La Pampa,Maíz,234,9.49,2023-01-01 06:00:00,2023-06-01 06:00:00,Sí,Arenoso,29.6,47,29.2,Sí,60410,258028,No
8,Buenos Aires,Cebada,138,5.19,2023-01-01 07:00:00,2023-06-01 07:00:00,Sí,Arenoso,22.5,83,27.8,No,46254,131990,Sí
9,Entre Ríos,Girasol,142,5.11,2023-01-01 08:00:00,2023-06-01 08:00:00,No,Arenoso,17.7,163,32.0,Sí,129283,354098,Sí
10,Entre Ríos,Algodón,489,5.52,2023-01-01 09:00:00,2023-06-01 09:00:00,Sí,Arcilloso,14.3,86,9.0,Sí,71151,84918,No
11,Entre Ríos,Soja,49,7.51,2023-01-01 10:00:00,2023-06-01 10:00:00,No,Arcilloso,14.1,172,25.7,No,154039,295957,No
12,La Pampa,Trigo,328,7.01,2023-01-01 11:00:00,2023-06-01 11:00:00,Sí,Arcilloso,24.7,144,24.4,No,146391,277597,No
13,Santa Fe,Algodón,394,3.01,2023-01-01 12:00:00,2023-06-01 12:00:00,Sí,Arcilloso,10.8,249,29.0,Sí,96162,318288,Sí
14,Córdoba,Soja,428,1.58,2023-01-01 13:00:00,2023-06-01 13:00:00,No,Franco,11.1,32,5.7,Sí,41623,359293,Sí
15,Córdoba,Soja,479,9.54,2023-01-01 14:00:00,2023-06-01 14:00:00,No,Arcilloso,5.4,147,29.8,Sí,41275,88676,No
16,Buenos Aires,Soja,230,3.35,2023-01-01 15:00:00,2023-06-01 15:00:00,Sí,Arcilloso,26.5,193,14.8,Sí,124037,430250,Sí
17,Buenos Aires,Algodón,410,6.75,2023-01-01 16:00:00,2023-06-01 16:00:00,Sí,Franco,39.8,125,25.6,Sí,190708,51941,Sí
18,Buenos Aires,Algodón,103,8.46,2023-01-01 17:00:00,2023-06-01 17:00:00,Sí,Franco,36.1,128,23.5,Sí,59659,126106,No
19,Córdoba,Cebada,108,3.7,2023-01-01 18:00:00,2023-06-01 18:00:00,Sí,Arenoso,29.7,162,18.2,Sí,52476,272152,No
20,Santa Fe,Soja,69,6.72,2023-01-01 19:00:00,2023-06-01 19:00:00,Sí,Arenoso,32.5,128,27.4,No,82237,408217,Sí
21,Buenos Aires,Maíz,138,1.97,2023-01-01 20:00:00,2023-06-01 20:00:00,No,Arcilloso,19.6,170,33.8,Sí,10256,488389,No
22,Buenos Aires,Soja,141,9.73,2023-01-01 21:00:00,2023-06-01 21:00:00,No,Arenoso,15.4,74,14.7,No,139296,341383,Sí
23,Córdoba,Maíz,402,1.52,2023-01-01 22:00:00,2023-06-01 22:00:00,No,Franco,17.9,255,27.5,Sí,21603,484417,No
24,Entre Ríos,Cebada,310,4.94,2023-01-01 23:00:00,2023-06-01 23:00:00,Sí,Arenoso,7.8,215,14.4,Sí,157593,42880,No
