Transaction_ID,Fecha_Compra,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Método_Pago,Ciudad_Cliente,País_Cliente,Descuento_Aplicado,Costo_Envio,Tiempo_Entrega_Estimado,Tiempo_Entrega_Real,Satisfacción_Cliente,Tipo_Cliente,Valoración_Producto
1,2023-01-01 00:00:00,Teclado,Computación,4714,2,9428,Transferencia Bancaria,Neuquén,Argentina,17,46,9,5,2,VIP,2
2,2023-01-01 01:00:00,Auriculares,Electrónica,576,1,576,Transferencia Bancaria,La Plata,Argentina,20,54,7,2,5,Nuevo,5
3,2023-01-01 02:00:00,Monitor,Electrónica,2710,8,21680,Tarjeta de Crédito,Buenos Aires,Argentina,11,22,5,12,5,Nuevo,1
4,2023-01-01 03:00:00,Teclado,Electrónica,2222,4,8888,PayPal,Neuquén,Argentina,27,87,8,3,5,Recurrente,1
5,2023-01-01 04:00:00,Tablet,Electrónica,329,3,987,PayPal,Neuquén,Argentina,28,54,12,9,3,Nuevo,5
6,2023-01-01 05:00:00,Mouse,Accesorios,3014,4,12056,Transferencia Bancaria,Neuquén,Argentina,11,34,14,5,3,Recurrente,3
7,2023-01-01 06:00:00,Monitor,Accesorios,4027,5,20135,Tarjeta de Crédito,Rosario,Argentina,0,81,6,17,3,Recurrente,3
8,2023-01-01 07:00:00,Monitor,Electrónica,2719,1,2719,PayPal,Mendoza,Argentina,19,43,6,16,2,Nuevo,2
9,2023-01-01 08:00:00,Teclado,Electrónica,2943,1,2943,Efectivo,Neuquén,Argentina,7,16,10,6,4,Nuevo,3
10,2023-01-01 09:00:00,Smartphone,Electrónica,1801,3,5403,PayPal,Salta,Argentina,16,63,14,6,5,Recurrente,4
11,2023-01-01 10:00:00,Tablet,Accesorios,4031,6,24186,Transferencia Bancaria,La Plata,Argentina,20,80,4,16,1,VIP,3
12,2023-01-01 11:00:00,Teclado,Electrónica,4819,1,4819,Efectivo,Córdoba,Argentina,27,48,11,18,3,Recurrente,1
13,2023-01-01 12:00:00,Tablet,Electrónica,2411,2,4822,Tarjeta de Crédito,La Plata,Argentina,19,92,5,4,1,VIP,3
14,2023-01-01 13:00:00,Tablet,Electrónica,4477,7,31339,Efectivo,Tucumán,Argentina,21,8,6,19,5,VIP,2
15,2023-01-01 14:00:00,Mouse,Computación,4181,1,4181,Efectivo,Córdoba,Argentina,6,40,2,12,4,Nuevo,3
16,2023-01-01 15:00:00,Monitor,Electrónica,1758,7,12306,Transferencia Bancaria,Mendoza,Argentina,8,52,8,7,1,Nuevo,2
17,2023-01-01 16:00:00,Auriculares,Computación,2736,4,10944,PayPal,Neuquén,Argentina,16,18,9,13,5,Nuevo,4
18,2023-01-01 17:00:00,Mouse,Computación,2945,6,17670,Tarjeta de Crédito,Rosario,Argentina,26,85,7,18,5,Nuevo,5
19,2023-01-01 18:00:00,Mouse,Electrónica,4585,8,36680,Efectivo,Buenos Aires,Argentina,9,53,10,15,3,Recurrente,4
20,2023-01-01 19:00:00,Tablet,Computación,2826,9,25434,Transferencia Bancaria,La Plata,Argentina,3,71,4,7,4,VIP,1
21,2023-01-01 20:00:00,Impresora,Electrónica,1169,6,7014,PayPal,Córdoba,Argentina,21,91,3,11,5,Recurrente,4
22,2023-01-01 21:00:00,Monitor,Accesorios,3038,9,27342,Efectivo,Neuquén,Argentina,25,81,6,17,4,VIP,4
23,2023-01-01 22:00:00,Smartphone,Accesorios,4309,4,17236,Transferencia Bancaria,Mendoza,Argentina,6,13,14,19,3,Recurrente,1
24,2023-01-01 23:00:00,Mouse,Accesorios,4293,6,25758,Transferencia Bancaria,Buenos Aires,Argentina,6,25,10,7,1,VIP,1
25,2023-01-02 00:00:00,Auriculares,Accesorios,244,8,1952,Transferencia Bancaria,Salta,Argentina,7,76,12,4,2,Nuevo,5
26,2023-01-02 01:00:00,Impresora,Computación,712,9,6408,Tarjeta de Crédito,Mendoza,Argentina,29,85,2,13,2,VIP,5
27,2023-01-02 02:00:00,Impresora,Electrónica,529,3,1587,PayPal,Rosario,Argentina,25,20,2,17,2,Nuevo,3
28,2023-01-02 03:00:00,Smartphone,Electrónica,4268,2,8536,Efectivo,Buenos Aires,Argentina,23,20,11,4,4,VIP,2
29,2023-01-02 04:00:00,Mouse,Electrónica,1473,6,8838,PayPal,Buenos Aires,Argentina,23,32,4,17,2,Recurrente,1
30,2023-01-02 05:00:00,Auriculares,Accesorios,2758,4,11032,PayPal,Salta,Argentina,7,55,11,5,1,VIP,4
31,2023-01-02 06:00:00,Monitor,Accesorios,3225,1,3225,Efectivo,Neuquén,Argentina,15,60,4,14,5,Recurrente,4
32,2023-01-02 07:00:00,Laptop,Electrónica,3864,8,30912,PayPal,Buenos Aires,Argentina,11,84,6,5,4,Recurrente,5
33,2023-01-02 08:00:00,Auriculares,Accesorios,2064,9,18576,Tarjeta de Crédito,Córdoba,Argentina,14,61,5,5,1,Nuevo,2
34,2023-01-02 09:00:00,Smartphone,Electrónica,3839,9,34551,Efectivo,Buenos Aires,Argentina,7,56,7,8,4,VIP,1
35,2023-01-02 10:00:00,Impresora,Electrónica,4855,2,9710,Efectivo,Mendoza,Argentina,21,50,13,13,4,Recurrente,5
36,2023-01-02 11:00:00,Monitor,Electrónica,2493,9,22437,Transferencia Bancaria,Córdoba,Argentina,8,82,9,3,4,VIP,2
37,2023-01-02 12:00:00,Auriculares,Electrónica,961,7,6727,PayPal,Buenos Aires,Argentina,2,42,9,17,3,Nuevo,1
38,2023-01-02 13:00:00,Laptop,Electrónica,3263,5,16315,Efectivo,Mendoza,Argentina,21,88,12,8,5,Nuevo,4
39,2023-01-02 14:00:00,Laptop,Electrónica,2414,7,16898,Efectivo,Mendoza,Argentina,20,52,5,12,2,VIP,4
40,2023-01-02 15:00:00,Tablet,Electrónica,3679,9,33111,Tarjeta de Crédito,La Plata,Argentina,30,45,2,2,3,Recurrente,5
41,2023-01-02 16:00:00,Tablet,Accesorios,3522,8,28176,Transferencia Bancaria,Mendoza,Argentina,15,63,14,10,5,Recurrente,2
42,2023-01-02 17:00:00,Teclado,Electrónica,730,6,4380,Efectivo,Salta,Argentina,14,97,8,6,2,Recurrente,4
43,2023-01-02 18:00:00,Smartphone,Electrónica,4701,4,18804,Tarjeta de Crédito,Tucumán,Argentina,23,71,7,18,3,VIP,2
44,2023-01-02 19:00:00,Mouse,Accesorios,659,1,659,Efectivo,Rosario,Argentina,3,78,6,2,3,Recurrente,5
45,2023-01-02 20:00:00,Auriculares,Accesorios,2206,6,13236,Efectivo,Buenos Aires,Argentina,19,88,5,18,1,Recurrente,3
46,2023-01-02 21:00:00,Auriculares,Accesorios,3916,3,11748,Efectivo,Salta,Argentina,28,70,7,13,3,Recurrente,2
47,2023-01-02 22:00:00,Mouse,Electrónica,421,6,2526,Tarjeta de Crédito,Buenos Aires,Argentina,30,31,9,14,4,Nuevo,2
48,2023-01-02 23:00:00,Teclado,Computación,665,6,3990,PayPal,Buenos Aires,Argentina,15,36,7,12,3,Recurrente,5
49,2023-01-03 00:00:00,Impresora,Computación,2303,4,9212,Efectivo,Mendoza,Argentina,9,60,4,14,4,VIP,3
50,2023-01-03 01:00:00,Impresora,Accesorios,4992,2,9984,Efectivo,Mendoza,Argentina,10,14,10,14,5,VIP,4
51,2023-01-03 02:00:00,Teclado,Computación,4188,9,37692,PayPal,Buenos Aires,Argentina,25,44,4,7,5,Recurrente,1
52,2023-01-03 03:00:00,Impresora,Accesorios,914,2,1828,Efectivo,Tucumán,Argentina,28,21,5,7,4,VIP,5
53,2023-01-03 04:00:00,Tablet,Electrónica,1318,3,3954,Transferencia Bancaria,Córdoba,Argentina,4,62,14,11,1,VIP,1
54,2023-01-03 05:00:00,Auriculares,Computación,834,1,834,Efectivo,Córdoba,Argentina,10,10,6,4,1,Recurrente,3
55,2023-01-03 06:00:00,Teclado,Electrónica,4621,7,32347,Transferencia Bancaria,Rosario,Argentina,28,43,12,8,5,Nuevo,3
56,2023-01-03 07:00:00,Auriculares,Computación,4228,1,4228,PayPal,La Plata,Argentina,12,22,3,6,3,Recurrente,2
57,2023-01-03 08:00:00,Mouse,Electrónica,2287,9,20583,Tarjeta de Crédito,Neuquén,Argentina,14,77,12,9,5,VIP,1
58,2023-01-03 09:00:00,Laptop,Computación,4104,1,4104,PayPal,Salta,Argentina,5,76,11,6,5,VIP,1
59,2023-01-03 10:00:00,Tablet,Electrónica,4945,5,24725,Efectivo,Rosario,Argentina,15,93,12,13,4,Recurrente,3
60,2023-01-03 11:00:00,Monitor,Electrónica,985,7,6895,Transferencia Bancaria,Neuquén,Argentina,14,99,11,5,1,VIP,1
61,2023-01-03 12:00:00,Tablet,Computación,4030,3,12090,Tarjeta de Crédito,Buenos Aires,Argentina,10,46,3,19,4,Nuevo,4
62,2023-01-03 13:00:00,Teclado,Electrónica,2388,9,21492,Efectivo,Salta,Argentina,19,8,7,4,5,Recurrente,3
63,2023-01-03 14:00:00,Monitor,Electrónica,375,8,3000,Tarjeta de Crédito,Buenos Aires,Argentina,1,24,3,8,2,VIP,2
64,2023-01-03 15:00:00,Laptop,Electrónica,1584,3,4752,Tarjeta de Crédito,Buenos Aires,Argentina,27,32,11,9,3,Nuevo,2
65,2023-01-03 16:00:00,Teclado,Computación,3530,5,17650,Efectivo,La Plata,Argentina,27,44,2,16,5,VIP,2
66,2023-01-03 17:00:00,Smartphone,Computación,3911,7,27377,PayPal,Mendoza,Argentina,29,69,9,18,4,Nuevo,1
67,2023-01-03 18:00:00,Auriculares,Electrónica,2035,4,8140,Efectivo,La Plata,Argentina,1,48,11,5,2,VIP,3
68,2023-01-03 19:00:00,Laptop,Electrónica,4982,5,24910,Efectivo,Rosario,Argentina,11,27,11,17,2,Recurrente,2
69,2023-01-03 20:00:00,Auriculares,Computación,4653,3,13959,PayPal,Mendoza,Argentina,15,61,14,14,5,VIP,3
70,2023-01-03 21:00:00,Impresora,Computación,2828,9,25452,Transferencia Bancaria,Mendoza,Argentina,18,51,2,13,1,Recurrente,1
71,2023-01-03 22:00:00,Smartphone,Electrónica,1320,9,11880,Efectivo,Rosario,Argentina,1,17,11,5,2,Nuevo,4
72,2023-01-03 23:00:00,Smartphone,Electrónica,690,7,4830,Tarjeta de Crédito,Mendoza,Argentina,16,20,7,13,3,Nuevo,4
73,2023-01-04 00:00:00,Laptop,Electrónica,4753,2,9506,Efectivo,Salta,Argentina,13,94,13,18,4,VIP,4
74,2023-01-04 01:00:00,Smartphone,Accesorios,4128,7,28896,Efectivo,Córdoba,Argentina,23,59,2,10,4,Recurrente,1
75,2023-01-04 02:00:00,Monitor,Computación,4711,7,32977,Tarjeta de Crédito,Rosario,Argentina,27,99,9,13,4,Recurrente,2
76,2023-01-04 03:00:00,Smartphone,Accesorios,1417,5,7085,PayPal,Neuquén,Argentina,15,69,6,16,5,Nuevo,1
77,2023-01-04 04:00:00,Auriculares,Computación,4092,9,36828,Transferencia Bancaria,Rosario,Argentina,4,85,4,3,4,Nuevo,3
78,2023-01-04 05:00:00,Auriculares,Computación,2625,3,7875,Transferencia Bancaria,Córdoba,Argentina,9,20,6,10,4,VIP,4
79,2023-01-04 06:00:00,Teclado,Computación,3653,4,14612,Tarjeta de Crédito,La Plata,Argentina,16,41,14,15,3,Nuevo,3
80,2023-01-04 07:00:00,Auriculares,Computación,1631,1,1631,PayPal,La Plata,Argentina,12,56,2,5,1,Nuevo,1
81,2023-01-04 08:00:00,Teclado,Computación,2036,6,12216,Efectivo,La Plata,Argentina,15,14,2,5,5,Recurrente,5
82,2023-01-04 09:00:00,Auriculares,Computación,2290,4,9160,Efectivo,Mendoza,Argentina,8,42,13,7,5,Recurrente,5
