Transaction_ID,Fecha_Compra,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Método_Pago,Ciudad_Cliente,País_Cliente,Descuento_Aplicado,Costo_Envio,Tiempo_Entrega_Estimado,Tiempo_Entrega_Real,Satisfacción_Cliente,Tipo_Cliente,Valoración_Producto,Frecuencia_Compra,Rentabilidad
1,2023-01-01 00:00:00,Teclado,Computación,28677,1,28677,Transferencia Bancaria,Neuquén,Argentina,2,1968.7949818162256,11,13,1,VIP,5,Baja,9502.005018183774
2,2023-01-01 01:00:00,Auriculares,Electrónica,14238,5,71190,Transferencia Bancaria,La Plata,Argentina,10,706.0027813339332,6,5,3,Nuevo,2,Media,27769.997218666067
3,2023-01-01 02:00:00,Monitor,Electrónica,5811,1,5811,Tarjeta de Crédito,Buenos Aires,Argentina,29,411.8172085580771,6,9,1,Nuevo,3,Baja,1912.582791441923
4,2023-01-01 03:00:00,Teclado,Electrónica,3380,3,10140,PayPal,Neuquén,Argentina,1,200.72785160317213,8,7,5,Recurrente,2,Media,3855.272148396828
5,2023-01-01 04:00:00,Tablet,Electrónica,5139,2,10278,PayPal,Neuquén,Argentina,12,144.40183333066716,4,8,5,Nuevo,2,Baja,3966.7981666693327
6,2023-01-01 05:00:00,Mouse,Accesorios,9429,9,84861,Transferencia Bancaria,Neuquén,Argentina,13,597.5799187571379,13,14,5,Recurrente,4,Alta,33346.82008124286
7,2023-01-01 06:00:00,Monitor,Accesorios,9909,5,49545,Tarjeta de Crédito,Rosario,Argentina,20,450.26402146312745,12,15,5,Recurrente,5,Media,19367.73597853687
8,2023-01-01 07:00:00,Monitor,Electrónica,21632,4,86528,PayPal,Mendoza,Argentina,0,785.1317847796802,4,6,4,Nuevo,3,Media,33826.06821522032
9,2023-01-01 08:00:00,Teclado,Electrónica,12207,7,85449,Efectivo,Neuquén,Argentina,4,250.49543826862,4,4,1,Nuevo,2,Alta,33929.10456173138
10,2023-01-01 09:00:00,Smartphone,Electrónica,4667,9,42003,PayPal,Salta,Argentina,5,138.4247665288362,11,13,1,Recurrente,4,Alta,16662.775233471166
11,2023-01-01 10:00:00,Tablet,Accesorios,11508,5,57540,Transferencia Bancaria,La Plata,Argentina,24,565.0488764503158,5,5,3,VIP,4,Media,22450.951123549683
12,2023-01-01 11:00:00,Teclado,Electrónica,22993,9,206937,Efectivo,Córdoba,Argentina,4,1789.9487686442108,12,16,5,Recurrente,4,Alta,80984.85123135579
13,2023-01-01 12:00:00,Tablet,Electrónica,6018,2,12036,Tarjeta de Crédito,La Plata,Argentina,26,307.56268533159823,8,11,4,VIP,2,Baja,4506.8373146684025
14,2023-01-01 13:00:00,Tablet,Electrónica,22343,6,134058,Efectivo,Tucumán,Argentina,13,1590.148406414053,7,8,3,VIP,5,Alta,52033.051593585944
15,2023-01-01 14:00:00,Mouse,Computación,22743,7,159201,Efectivo,Córdoba,Argentina,25,1345.385569449167,9,7,5,Nuevo,1,Alta,62335.014430550844
16,2023-01-01 15:00:00,Monitor,Electrónica,15848,5,79240,Transferencia Bancaria,Mendoza,Argentina,24,1145.4351805298443,12,11,1,Nuevo,5,Media,30550.564819470157
17,2023-01-01 16:00:00,Auriculares,Computación,8168,9,73512,PayPal,Neuquén,Argentina,3,234.8416607275672,12,11,2,Nuevo,4,Alta,29169.958339272434
18,2023-01-01 17:00:00,Mouse,Computación,17674,2,35348,Tarjeta de Crédito,Rosario,Argentina,17,1150.5926167615153,8,9,3,Nuevo,4,Baja,12988.607383238486
19,2023-01-01 18:00:00,Mouse,Electrónica,4428,7,30996,Efectivo,Buenos Aires,Argentina,11,123.11066783463697,9,11,2,Recurrente,3,Alta,12275.289332165365
20,2023-01-01 19:00:00,Tablet,Computación,23163,3,69489,Transferencia Bancaria,La Plata,Argentina,6,1618.3197918928468,11,14,5,VIP,5,Media,26177.280208107153
21,2023-01-01 20:00:00,Impresora,Electrónica,24477,5,122385,PayPal,Córdoba,Argentina,15,964.8710926412266,5,8,2,Recurrente,3,Media,47989.128907358776
22,2023-01-01 21:00:00,Monitor,Accesorios,24610,1,24610,Efectivo,Neuquén,Argentina,14,673.6933423326087,3,7,5,VIP,3,Baja,9170.306657667392
23,2023-01-01 22:00:00,Smartphone,Accesorios,23488,1,23488,Transferencia Bancaria,Mendoza,Argentina,16,1211.6687970301994,4,5,4,Recurrente,3,Baja,8183.531202969802
24,2023-01-01 23:00:00,Mouse,Accesorios,18755,7,131285,Transferencia Bancaria,Buenos Aires,Argentina,30,1240.823104102324,6,9,3,VIP,2,Alta,51273.176895897675
25,2023-01-02 00:00:00,Auriculares,Accesorios,23081,4,92324,Transferencia Bancaria,Salta,Argentina,23,1136.5686485249296,11,14,2,Nuevo,1,Media,35793.03135147507
26,2023-01-02 01:00:00,Impresora,Computación,19098,8,152784,Tarjeta de Crédito,Mendoza,Argentina,20,713.8812738815295,6,5,5,VIP,5,Alta,60399.71872611847
27,2023-01-02 02:00:00,Impresora,Electrónica,22040,4,88160,PayPal,Rosario,Argentina,11,1417.4953786103506,8,11,3,Nuevo,4,Media,33846.50462138965
28,2023-01-02 03:00:00,Smartphone,Electrónica,12930,3,38790,Efectivo,Buenos Aires,Argentina,27,808.2061182928616,8,6,4,VIP,3,Media,14707.793881707139
29,2023-01-02 04:00:00,Mouse,Electrónica,23498,3,70494,PayPal,Buenos Aires,Argentina,24,1229.9047722743087,3,4,4,Recurrente,4,Media,26967.69522772569
30,2023-01-02 05:00:00,Auriculares,Accesorios,18414,8,147312,PayPal,Salta,Argentina,14,1106.0461023717771,9,10,1,VIP,2,Alta,57818.75389762822
31,2023-01-02 06:00:00,Monitor,Accesorios,13477,8,107816,Efectivo,Neuquén,Argentina,9,736.4575863736993,6,5,4,Recurrente,5,Alta,42389.942413626304
32,2023-01-02 07:00:00,Laptop,Electrónica,10735,8,85880,PayPal,Buenos Aires,Argentina,29,466.48880634126954,7,11,4,Recurrente,4,Alta,33885.51119365873
33,2023-01-02 08:00:00,Auriculares,Accesorios,15964,5,79820,Tarjeta de Crédito,Córdoba,Argentina,11,535.7403418700945,14,13,3,Nuevo,3,Media,31392.259658129904
34,2023-01-02 09:00:00,Smartphone,Electrónica,24702,4,98808,Efectivo,Buenos Aires,Argentina,12,1189.9727567756424,8,7,4,VIP,4,Media,38333.22724322436
35,2023-01-02 10:00:00,Impresora,Electrónica,18672,9,168048,Efectivo,Mendoza,Argentina,21,1206.8560081894382,5,8,2,Recurrente,1,Alta,66012.34399181056
36,2023-01-02 11:00:00,Monitor,Electrónica,7266,3,21798,Transferencia Bancaria,Córdoba,Argentina,16,342.3621114983429,3,4,2,VIP,4,Media,8376.837888501657
37,2023-01-02 12:00:00,Auriculares,Electrónica,10408,7,72856,PayPal,Buenos Aires,Argentina,13,639.428364285463,11,13,3,Nuevo,3,Alta,28502.971635714537
38,2023-01-02 13:00:00,Laptop,Electrónica,18022,7,126154,Efectivo,Mendoza,Argentina,19,559.7337600081278,6,5,4,Nuevo,5,Alta,49901.866239991876
39,2023-01-02 14:00:00,Laptop,Electrónica,4988,5,24940,Efectivo,Mendoza,Argentina,17,217.58043484273793,11,13,4,VIP,5,Media,9758.419565157263
40,2023-01-02 15:00:00,Tablet,Electrónica,4650,7,32550,Tarjeta de Crédito,La Plata,Argentina,25,192.04492815538273,7,9,2,Recurrente,5,Alta,12827.955071844617
41,2023-01-02 16:00:00,Tablet,Accesorios,23649,2,47298,Transferencia Bancaria,Mendoza,Argentina,13,744.3496573213017,14,16,5,Recurrente,2,Baja,18174.8503426787
42,2023-01-02 17:00:00,Teclado,Electrónica,9870,6,59220,Efectivo,Salta,Argentina,30,404.9189921589156,6,7,5,Recurrente,5,Alta,23283.081007841083
43,2023-01-02 18:00:00,Smartphone,Electrónica,24927,7,174489,Tarjeta de Crédito,Tucumán,Argentina,15,1716.2950483522038,12,12,2,VIP,3,Alta,68079.3049516478
44,2023-01-02 19:00:00,Mouse,Accesorios,23124,4,92496,Efectivo,Rosario,Argentina,22,1167.1307786744553,7,5,4,Recurrente,4,Media,35831.26922132554
45,2023-01-02 20:00:00,Auriculares,Accesorios,9581,5,47905,Efectivo,Buenos Aires,Argentina,28,703.5381273727121,13,15,4,Recurrente,3,Media,18458.46187262729
46,2023-01-02 21:00:00,Auriculares,Accesorios,9511,3,28533,Efectivo,Salta,Argentina,24,246.97419614370924,13,17,2,Recurrente,3,Media,11166.225803856292
47,2023-01-02 22:00:00,Mouse,Electrónica,7136,9,64224,Tarjeta de Crédito,Buenos Aires,Argentina,29,365.3923027264165,4,7,5,Nuevo,5,Alta,25324.20769727358
48,2023-01-02 23:00:00,Teclado,Computación,20897,3,62691,PayPal,Buenos Aires,Argentina,14,806.2309988925385,9,10,5,Recurrente,4,Media,24270.169001107464
49,2023-01-03 00:00:00,Impresora,Computación,7876,2,15752,Efectivo,Mendoza,Argentina,19,475.66162383160713,5,5,1,VIP,3,Baja,5825.138376168394
50,2023-01-03 01:00:00,Impresora,Accesorios,12148,3,36444,Efectivo,Mendoza,Argentina,11,759.7356788417718,4,7,2,VIP,4,Media,13817.864321158231
51,2023-01-03 02:00:00,Teclado,Computación,25643,9,230787,PayPal,Buenos Aires,Argentina,7,1374.20603770443,9,12,1,Recurrente,2,Alta,90940.59396229559
52,2023-01-03 03:00:00,Impresora,Accesorios,24789,1,24789,Efectivo,Tucumán,Argentina,26,1588.6078082932524,5,7,4,VIP,3,Baja,8326.992191706748
53,2023-01-03 04:00:00,Tablet,Electrónica,22536,8,180288,Transferencia Bancaria,Córdoba,Argentina,5,507.94058896842665,9,7,5,VIP,3,Alta,71607.25941103157
54,2023-01-03 05:00:00,Auriculares,Computación,25910,2,51820,Efectivo,Córdoba,Argentina,21,1107.56473871322,5,7,4,Recurrente,4,Baja,19620.43526128678
55,2023-01-03 06:00:00,Teclado,Electrónica,9952,2,19904,Transferencia Bancaria,Rosario,Argentina,15,508.30574780270285,13,16,4,Nuevo,3,Baja,7453.294252197297
56,2023-01-03 07:00:00,Auriculares,Computación,11393,7,79751,PayPal,La Plata,Argentina,19,460.10932195920833,11,15,4,Recurrente,3,Alta,31440.290678040794
57,2023-01-03 08:00:00,Mouse,Electrónica,13771,4,55084,Tarjeta de Crédito,Neuquén,Argentina,5,655.4711554230595,5,8,2,VIP,4,Media,21378.12884457694
58,2023-01-03 09:00:00,Laptop,Computación,15226,3,45678,PayPal,Salta,Argentina,17,469.7718636672225,3,3,5,VIP,4,Media,17801.42813633278
59,2023-01-03 10:00:00,Tablet,Electrónica,21956,6,131736,Efectivo,Rosario,Argentina,7,1723.8777870190665,12,15,4,Recurrente,2,Alta,50970.52221298094
60,2023-01-03 11:00:00,Monitor,Electrónica,19221,7,134547,Transferencia Bancaria,Neuquén,Argentina,13,1295.1254627563258,11,9,4,VIP,3,Alta,52523.67453724368
61,2023-01-03 12:00:00,Tablet,Computación,10021,6,60126,Tarjeta de Crédito,Buenos Aires,Argentina,26,297.1935353811236,10,11,2,Nuevo,4,Alta,23753.206464618877
62,2023-01-03 13:00:00,Teclado,Electrónica,14349,3,43047,Efectivo,Salta,Argentina,15,692.8669987380321,14,12,4,Recurrente,3,Media,16525.93300126197
63,2023-01-03 14:00:00,Monitor,Electrónica,10131,2,20262,Tarjeta de Crédito,Buenos Aires,Argentina,22,281.76834314598904,12,10,4,VIP,5,Baja,7823.031656854012
64,2023-01-03 15:00:00,Laptop,Electrónica,11411,3,34233,Tarjeta de Crédito,Buenos Aires,Argentina,22,578.9065119870431,6,7,3,Nuevo,4,Media,13114.293488012958
65,2023-01-03 16:00:00,Teclado,Computación,27434,2,54868,Efectivo,La Plata,Argentina,10,570.2102505110136,14,14,1,VIP,4,Baja,21376.989749488992
66,2023-01-03 17:00:00,Smartphone,Computación,23860,7,167020,PayPal,Mendoza,Argentina,12,644.9423045984355,12,11,4,Nuevo,4,Alta,66163.05769540157
67,2023-01-03 18:00:00,Auriculares,Electrónica,21996,5,109980,Efectivo,La Plata,Argentina,13,1709.1240495552727,13,14,2,VIP,4,Media,42282.87595044473
68,2023-01-03 19:00:00,Laptop,Electrónica,5341,1,5341,Efectivo,Rosario,Argentina,25,119.98746020320435,8,12,5,Recurrente,5,Baja,2016.4125397967957
69,2023-01-03 20:00:00,Auriculares,Computación,17023,5,85115,PayPal,Mendoza,Argentina,10,860.2881618485169,10,12,2,VIP,3,Media,33185.71183815148
70,2023-01-03 21:00:00,Impresora,Computación,10904,6,65424,Transferencia Bancaria,Mendoza,Argentina,18,589.1332962541205,5,7,2,Recurrente,4,Alta,25580.46670374588
71,2023-01-03 22:00:00,Smartphone,Electrónica,19668,9,177012,Efectivo,Rosario,Argentina,13,652.3774305854465,4,7,5,Nuevo,4,Alta,70152.42256941456
72,2023-01-03 23:00:00,Smartphone,Electrónica,21666,3,64998,Tarjeta de Crédito,Mendoza,Argentina,25,1142.4076388659441,6,5,2,Nuevo,4,Media,24856.79236113406
73,2023-01-04 00:00:00,Laptop,Electrónica,16116,3,48348,Efectivo,Salta,Argentina,4,742.7094379132337,8,6,3,VIP,4,Media,18596.49056208677
74,2023-01-04 01:00:00,Smartphone,Accesorios,7778,7,54446,Efectivo,Córdoba,Argentina,5,429.8372814085995,8,6,5,Recurrente,3,Alta,21348.5627185914
75,2023-01-04 02:00:00,Monitor,Computación,15556,3,46668,Tarjeta de Crédito,Rosario,Argentina,25,776.4067585657531,12,16,3,Recurrente,3,Media,17890.793241434247
76,2023-01-04 03:00:00,Smartphone,Accesorios,3530,4,14120,PayPal,Neuquén,Argentina,24,235.56994469054388,10,11,4,Nuevo,5,Media,5412.430055309456
77,2023-01-04 04:00:00,Auriculares,Computación,18339,2,36678,Transferencia Bancaria,Rosario,Argentina,15,596.8580621981137,14,17,3,Nuevo,3,Baja,14074.341937801888
78,2023-01-04 05:00:00,Auriculares,Computación,8367,3,25101,Transferencia Bancaria,Córdoba,Argentina,12,453.1462476013787,7,11,3,VIP,4,Media,9587.253752398623
79,2023-01-04 06:00:00,Teclado,Computación,17379,9,156411,Tarjeta de Crédito,La Plata,Argentina,12,1026.7504716924618,12,12,5,Nuevo,3,Alta,61537.64952830755
80,2023-01-04 07:00:00,Auriculares,Computación,26834,3,80502,PayPal,La Plata,Argentina,3,1831.7095657722352,6,8,4,Nuevo,2,Media,30369.090434227768
81,2023-01-04 08:00:00,Teclado,Computación,13925,9,125325,Efectivo,La Plata,Argentina,21,865.3728638297982,5,5,4,Recurrente,2,Alta,49264.6271361702
82,2023-01-04 09:00:00,Auriculares,Computación,13566,2,27132,Efectivo,Mendoza,Argentina,19,626.0834238952183,14,12,3,Recurrente,3,Baja,10226.716576104784
83,2023-01-04 10:00:00,Monitor,Computación,20152,1,20152,Efectivo,Córdoba,Argentina,23,652.6795050972773,3,7,4,Recurrente,3,Baja,7408.120494902723
84,2023-01-04 11:00:00,Mouse,Accesorios,16816,3,50448,Efectivo,Salta,Argentina,25,865.1898052249063,14,18,3,Nuevo,5,Media,19314.010194775095
85,2023-01-04 12:00:00,Teclado,Electrónica,22500,5,112500,Efectivo,Rosario,Argentina,25,1466.7726258272194,11,12,2,VIP,4,Media,43533.227374172784
86,2023-01-04 13:00:00,Tablet,Electrónica,5987,1,5987,Tarjeta de Crédito,Rosario,Argentina,27,243.6644411104525,8,8,5,VIP,2,Baja,2151.1355588895476
87,2023-01-04 14:00:00,Impresora,Accesorios,22052,9,198468,Efectivo,Rosario,Argentina,12,1578.957502491035,13,11,5,Nuevo,5,Alta,77808.24249750898
88,2023-01-04 15:00:00,Laptop,Accesorios,13476,7,94332,Efectivo,Mendoza,Argentina,7,684.8064368826699,9,13,3,VIP,2,Alta,37047.993563117336
89,2023-01-04 16:00:00,Auriculares,Accesorios,16953,4,67812,PayPal,Mendoza,Argentina,16,906.424484567954,13,16,4,Nuevo,5,Media,26218.37551543205
